country_name,country_code,indicator_name,indicator_code,debt_2021,debt_2022,total_debt2023
Armenia,ARM,"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD,3662171.3,3691302.9,3871073.2
Armenia,ARM,"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD,3662171.3,3691302.9,3871073.2
Armenia,ARM,"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD,691020.4,643660.5,604762.2
Armenia,ARM,"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD,,,0
Armenia,ARM,"PPG, other private creditors (AMT, current US$)",DT.AMT.PROP.CD,0,0,0
Armenia,ARM,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,0,0,0
Armenia,ARM,"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,0,0,0
Armenia,ARM,"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD,0,0,0
Azerbaijan,AZE,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,1703478617,1103761360,1188784954
Azerbaijan,AZE,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,443256090,496667881.2,734137295.9
Azerbaijan,AZE,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,1028479597,633653972.8,687885641.7
Azerbaijan,AZE,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,898992651.2,539648957.6,620165273.4
Azerbaijan,AZE,"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD,77826170.4,345139451.6,345139451.6
Azerbaijan,AZE,"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD,267999941.5,287851402.9,342035672.7
Azerbaijan,AZE,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,134708351,159846739.1,332989082.8
Azerbaijan,AZE,"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD,118584122,146775690,314818890.6
Azerbaijan,AZE,"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD,379056020.8,335502825.9,314139695.6
Azerbaijan,AZE,"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD,379056020.8,335502825.9,314139695.6
Azerbaijan,AZE,"PPG, bonds (INT, current US$)",DT.INT.PBND.CD,224974000,239435000,246712000
Azerbaijan,AZE,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,295942999.8,134604561.5,186759616.8
Azerbaijan,AZE,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,1094310987,513153442.9,163082649.5
Azerbaijan,AZE,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,574678289.1,157406762.7,163082649.5
Azerbaijan,AZE,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,522681000,121307000,140404143
Azerbaijan,AZE,"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD,43025941.5,48416402.9,95323672.7
Azerbaijan,AZE,"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,129486945.6,94005015.2,67720368.3
Azerbaijan,AZE,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,40547797.5,48969739.2,59112540.4
Azerbaijan,AZE,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,77826170.4,45139451.6,45139451.6
Azerbaijan,AZE,"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD,51997289.1,36099762.7,22678506.5
Azerbaijan,AZE,"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,16124229,13071049.1,18170192.2
Azerbaijan,AZE,"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD,,,0
Azerbaijan,AZE,"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,0,0,0
Azerbaijan,AZE,"PPG, other private creditors (AMT, current US$)",DT.AMT.PROP.CD,,,
Azerbaijan,AZE,"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD,,,
Bangladesh,BGD,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,13974501713,13375565167,13602479816
Bangladesh,BGD,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,8591651713,10056527167,13602479816
Bangladesh,BGD,"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD,4458452581,5724339449,9103128718
Bangladesh,BGD,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,4133199132,4332187718,4499351098
Bangladesh,BGD,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,4401294417,5140608209,4256534979
Bangladesh,BGD,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,1579118789,1712677927,2554971653
Bangladesh,BGD,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,900018757.6,1036571976,2236716517
Bangladesh,BGD,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,549434757.6,653463976.2,1757284517
Bangladesh,BGD,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,1180652972,1396402520,1586110403
Bangladesh,BGD,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,2420226000,2557921000,1265541000
Bangladesh,BGD,"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,398465817,316275406.7,968861249.5
Bangladesh,BGD,"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD,332616075.9,477682822.6,901852941.1
Bangladesh,BGD,"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,216818681.7,175781153.6,855431576
Bangladesh,BGD,"PPG, commercial banks (DIS, current US$)",DT.DIS.PCBK.CD,959381000,483588000,483588000
Bangladesh,BGD,"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD,972835000,483588000,483588000
Bangladesh,BGD,"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD,401949627.9,870009282.3,436022326.4
Bangladesh,BGD,"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD,304643627.9,460959282.3,380965369.9
Bangladesh,BGD,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,102250000,217520000,285617000
Bangladesh,BGD,"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD,248334000,165588000,193815000
Bangladesh,BGD,"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD,96690000,66114000,118663000
Bangladesh,BGD,"PPG, bonds (INT, current US$)",DT.INT.PBND.CD,151644000,99474000,75152000
Bangladesh,BGD,"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD,97306000,409050000,55056956.5
Bangladesh,BGD,"PPG, other private creditors (DIS, current US$)",DT.DIS.PROP.CD,0,0,0
Bangladesh,BGD,"PPG, other private creditors (AMT, current US$)",DT.AMT.PROP.CD,,,
Bangladesh,BGD,"PPG, other private creditors (INT, current US$)",DT.INT.PROP.CD,,,
Belarus,BLR,"Principal repayments on external debt, long-term (AMT, current US$)",DT.AMT.DLXF.CD,2967919994,5105034541,5724045559
Belarus,BLR,"PPG, official creditors (AMT, current US$)",DT.AMT.OFFT.CD,1925133377,2379046513,2545778841
Belarus,BLR,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",DT.AMT.DPNG.CD,1029843000,2568328000,2369435270
Belarus,BLR,"PPG, bilateral (AMT, current US$)",DT.AMT.BLAT.CD,1450864363,2143153847,2041467789
Belarus,BLR,"Disbursements on external debt, long-term (DIS, current US$)",DT.DIS.DLXF.CD,1691310540,3767174360,1941663685
Belarus,BLR,"PPG, official creditors (DIS, current US$)",DT.DIS.OFFT.CD,1691310540,1935488360,1799492013
Belarus,BLR,"Interest payments on external debt, long-term (INT, current US$)",DT.INT.DLXF.CD,1239537258,1312881270,1640425153
Belarus,BLR,"PPG, bilateral (DIS, current US$)",DT.DIS.BLAT.CD,1083272463,1711743898,1583495483
Belarus,BLR,"PPG, official creditors (INT, current US$)",DT.INT.OFFT.CD,601075098.4,620639164.8,1012269073
Belarus,BLR,"PPG, bilateral (INT, current US$)",DT.INT.BLAT.CD,501862490,551184608.8,848669474.8
Belarus,BLR,"PPG, private creditors (AMT, current US$)",DT.AMT.PRVT.CD,12943616.3,157660027.4,808831448
Belarus,BLR,"PPG, bonds (AMT, current US$)",DT.AMT.PBND.CD,,148937428,800000000
Belarus,BLR,"PPG, multilateral (AMT, current US$)",DT.AMT.MLAT.CD,474269014.1,235892666.7,504311051.7
Belarus,BLR,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",DT.INT.DPNG.CD,386624673.4,450677293.3,418092583.1
Belarus,BLR,"PPG, multilateral (DIS, current US$)",DT.DIS.MLAT.CD,608038077.2,223744462.8,215996529.4
Belarus,BLR,"PPG, private creditors (INT, current US$)",DT.INT.PRVT.CD,251837485.8,241564812,210063496.2
Belarus,BLR,"PPG, bonds (INT, current US$)",DT.INT.PBND.CD,251261241,240929179.9,209177151.6
Belarus,BLR,"PPG, multilateral (INT, current US$)",DT.INT.MLAT.CD,99212608.4,69454556,163599598.4
Belarus,BLR,"PPG, private creditors (DIS, current US$)",DT.DIS.PRVT.CD,0,0,142171672.2
Belarus,BLR,"PPG, commercial banks (AMT, current US$)",DT.AMT.PCBK.CD,12943616.3,8722599.4,8831448
Belarus,BLR,"PPG, commercial banks (INT, current US$)",DT.INT.PCBK.CD,576244.8,635632.1,886344.6
